                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94661,                 3.5084,                 1.3622,                0.28765,                0.30935,                0.24395,                0.18607,                0.90159,                 2.6074,                 1.2702,              0.0033056,              0.0033056,              0.0033056
                      2,                0.97044,                 2.3225,                 1.3564,                0.59802,                0.57404,                0.56747,                0.40668,                 1.0276,                 1.8961,                 1.4253,              0.0066257,              0.0066257,              0.0066257
                      3,                 1.0132,                 1.8926,                 1.3646,                0.66125,                0.56544,                0.60482,                0.43059,                 1.0512,                 2.0442,                 1.3886,              0.0099327,              0.0099327,              0.0099327
                      4,                 1.0546,                 1.7763,                 1.3576,                0.46952,                0.37304,                0.38557,                 0.2387,                 1.3604,                 2.8103,                 1.8873,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0532,                 1.6713,                 1.3607,                0.60879,                0.63159,                0.64822,                0.46217,                 1.0604,                 1.6724,                 1.3831,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.0172,                 1.5286,                 1.3318,                0.71172,                0.60379,                0.64793,                0.47298,                  1.042,                 1.5828,                 1.3518,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.0218,                 1.4517,                 1.3324,                0.67273,                0.57148,                0.59975,                0.43796,                 1.0312,                 1.7086,                 1.3659,               0.009901,               0.009901,               0.009901
                      8,                 1.0051,                 1.4155,                 1.3243,                0.62374,                0.53894,                0.57281,                0.41647,                 1.0653,                 1.7896,                  1.375,              0.0098812,              0.0098812,              0.0098812
                      9,                0.96168,                 1.3416,                 1.2976,                0.77351,                0.56105,                0.66325,                0.49539,                 1.0099,                 1.4384,                 1.3485,              0.0098614,              0.0098614,              0.0098614
                     10,                0.96922,                 1.2777,                 1.3039,                0.72194,                0.63381,                0.69531,                0.52929,                0.91611,                  1.288,                 1.2441,              0.0098416,              0.0098416,              0.0098416
                     11,                 0.9683,                 1.2633,                  1.302,                0.76076,                0.62909,                0.71067,                0.51776,                 1.0121,                 1.2728,                 1.3251,              0.0098218,              0.0098218,              0.0098218
